4600,New York,12,NY,10096,New York,0.08375
4601,New York,12,NY,10098,New York,0.08375
4602,New York,12,NY,10099,New York,0.08375
4603,New York,12,NY,10101,New York,0.08375
4604,New York,12,NY,10102,New York,0.08375
4605,New York,12,NY,10103,New York,0.08375
4606,New York,12,NY,10104,New York,0.08375
4607,New York,12,NY,10105,New York,0.08375
4608,New York,12,NY,10106,New York,0.08375
4609,New York,12,NY,10107,New York,0.08375
4610,New York,12,NY,10108,New York,0.08375
4611,New York,12,NY,10109,New York,0.08375
4612,New York,12,NY,10110,New York,0.08375
4613,New York,12,NY,10111,New York,0.08375
4614,New York,12,NY,10112,New York,0.08375
4615,New York,12,NY,10113,New York,0.08375
4616,New York,12,NY,10114,New York,0.08375
4617,New York,12,NY,10115,New York,0.08375
4618,New York,12,NY,10116,New York,0.08375
4619,New York,12,NY,10117,New York,0.08375
4620,New York,12,NY,10118,New York,0.08375
4621,New York,12,NY,10119,New York,0.08375
4622,New York,12,NY,10120,New York,0.08375
4623,New York,12,NY,10121,New York,0.08375
4624,New York,12,NY,10122,New York,0.08375
4625,New York,12,NY,10123,New York,0.08375
4626,New York,12,NY,10124,New York,0.08375
4627,New York,12,NY,10125,New York,0.08375
4628,New York,12,NY,10126,New York,0.08375
4629,New York,12,NY,10128,New York,0.08375
4630,New York,12,NY,10129,New York,0.08375
4631,New York,12,NY,10130,New York,0.08375
4632,New York,12,NY,10131,New York,0.08375
4633,New York,12,NY,10132,New York,0.08375
4634,New York,12,NY,10133,New York,0.08375
4635,New York,12,NY,10138,New York,0.08375
4636,New York,12,NY,10149,New York,0.08375
4637,New York,12,NY,10150,New York,0.08375
4638,New York,12,NY,10151,New York,0.08375
4639,New York,12,NY,10152,New York,0.08375
4640,New York,12,NY,10153,New York,0.08375
4641,New York,12,NY,10154,New York,0.08375
4642,New York,12,NY,10155,New York,0.08375
4643,New York,12,NY,10156,New York,0.08375
4644,New York,12,NY,10157,New York,0.08375
4645,New York,12,NY,10158,New York,0.08375
4646,New York,12,NY,10159,New York,0.08375
4647,New York,12,NY,10160,New York,0.08375
4648,New York,12,NY,10161,New York,0.08375
4649,New York,12,NY,10162,New York,0.08375
4650,New York,12,NY,10163,New York,0.08375
4651,New York,12,NY,10164,New York,0.08375
4652,New York,12,NY,10165,New York,0.08375
4653,New York,12,NY,10166,New York,0.08375
4654,New York,12,NY,10167,New York,0.08375
4655,New York,12,NY,10168,New York,0.08375
4656,New York,12,NY,10169,New York,0.08375
4657,New York,12,NY,10170,New York,0.08375
4658,New York,12,NY,10171,New York,0.08375
4659,New York,12,NY,10172,New York,0.08375
4660,New York,12,NY,10173,New York,0.08375
4661,New York,12,NY,10174,New York,0.08375
4662,New York,12,NY,10175,New York,0.08375
4663,New York,12,NY,10176,New York,0.08375
4664,New York,12,NY,10177,New York,0.08375
4665,New York,12,NY,10178,New York,0.08375
52164,new york,S,ny,10179,New York,0.08375
4666,New York,12,NY,10184,New York,0.08375
4667,New York,12,NY,10185,New York,0.08375
4668,New York,12,NY,10196,New York,0.08375
4669,New York,12,NY,10197,New York,0.08375
4670,New York,12,NY,10199,New York,0.08375
4671,New York,12,NY,10203,New York,0.08375
4672,New York,12,NY,10211,New York,0.08375
4673,New York,12,NY,10212,New York,0.08375
4674,New York,12,NY,10213,New York,0.08375
4675,New York,12,NY,10242,New York,0.08375
4676,New York,12,NY,10249,New York,0.08375
4677,New York,12,NY,10256,New York,0.08375
4678,New York,12,NY,10257,New York,0.08375
4679,New York,12,NY,10258,New York,0.08375
4680,New York,12,NY,10259,New York,0.08375
4681,New York,12,NY,10260,New York,0.08375
4682,New York,12,NY,10261,New York,0.08375
4683,New York,12,NY,10265,New York,0.08375
4684,New York,12,NY,10268,New York,0.08375
4685,New York,12,NY,10269,New York,0.08375
4686,New York,12,NY,10270,New York,0.08375
4687,New York,12,NY,10271,New York,0.08375
4688,New York,12,NY,10272,New York,0.08375
4689,New York,12,NY,10273,New York,0.08375
4690,New York,12,NY,10274,New York,0.08375
4691,New York,12,NY,10275,New York,0.08375
4692,New York,12,NY,10276,New York,0.08375
4693,New York,12,NY,10277,New York,0.08375
4694,New York,12,NY,10278,New York,0.08375
4695,New York,12,NY,10279,New York,0.08375
4696,New York,12,NY,10280,New York,0.08375
4697,New York,12,NY,10281,New York,0.08375
4698,New York,12,NY,10282,New York,0.08375
4699,New York,12,NY,10285,New York,0.08375
4700,New York,12,NY,10286,New York,0.08375
4701,New York,12,NY,10292,New York,0.08375
4702,Staten Island,17.95,NY,10301,Richmond,0.08375
4703,Staten Island,17.95,NY,10302,Richmond,0.08375
4704,Staten Island,17.95,NY,10303,Richmond,0.08375
4705,Staten Island,17.95,NY,10304,Richmond,0.08375
4706,Staten Island,17.95,NY,10305,Richmond,0.08375
4707,Staten Island,17.95,NY,10306,Richmond,0.08375
4708,Staten Island,17.95,NY,10307,Richmond,0.08375
4709,Staten Island,17.95,NY,10308,Richmond,0.08375
4710,Staten Island,17.95,NY,10309,Richmond,0.08375
4711,Staten Island,17.95,NY,10310,Richmond,0.08375
4712,Staten Island,17.95,NY,10311,Richmond,0.08375
4713,Staten Island,17.95,NY,10312,Richmond,0.08375
4714,Staten Island,17.95,NY,10313,Richmond,0.08375
4715,Staten Island,17.95,NY,10314,Richmond,0.08375
51661,Staten Island,S,NY,10316,,0.08375
4716,Bronx,11.95,NY,10451,Bronx,0.08375
4717,Bronx,11.95,NY,10452,Bronx,0.08375
4718,Bronx,11.95,NY,10453,Bronx,0.08375
4719,Bronx,11.95,NY,10454,Bronx,0.08375
4720,Bronx,11.95,NY,10455,Bronx,0.08375
4721,Bronx,11.95,NY,10456,Bronx,0.08375
4722,Bronx,11.95,NY,10457,Bronx,0.08375
4723,Bronx,11.95,NY,10458,Bronx,0.08375
4724,Bronx,11.95,NY,10459,Bronx,0.08375
4725,Bronx,11.95,NY,10460,Bronx,0.08375
4726,Bronx,11.95,NY,10461,Bronx,0.08375
4727,Bronx,11.95,NY,10462,Bronx,0.08375
4728,Bronx,11.95,NY,10463,Bronx,0.08375
4729,Bronx,11.95,NY,10464,Bronx,0.08375
4730,Bronx,11.95,NY,10465,Bronx,0.08375
4731,Bronx,11.95,NY,10466,Bronx,0.08375
4732,Bronx,11.95,NY,10467,Bronx,0.08375
4733,Bronx,11.95,NY,10468,Bronx,0.08375
4734,Bronx,11.95,NY,10469,Bronx,0.08375
4735,Hillside,11.95,NY,10469,Bronx,0.08375
4736,Bronx,11.95,NY,10470,Bronx,0.08375
4737,Bronx,11.95,NY,10471,Bronx,0.08375
4738,Riverdale,11.95,NY,10471,Bronx,0.08375
4739,Bronx,11.95,NY,10472,Bronx,0.08375
4740,Bronx,11.95,NY,10473,Bronx,0.08375
4741,Bronx,11.95,NY,10474,Bronx,0.08375
4742,Bronx,11.95,NY,10475,Bronx,0.08375
4743,Bronx,11.95,NY,10499,Bronx,0.08375
4744,Amawalk,S,NY,10501,Westchester,0.07375
4745,Ardsley,14.95,NY,10502,Westchester,0.07375
4746,Ardsley On Hudson,14.95,NY,10503,Westchester,0.07375
4747,Armonk,S,NY,10504,Westchester,0.07375
4748,Baldwin Place,S,NY,10505,Westchester,0.07375
4749,Bedford,S,NY,10506,Westchester,0.07375
4750,Banksville,S,NY,10506,Westchester,0.07375
4751,Bedford Hills,S,NY,10507,Westchester,0.07375
4752,Brewster,S,NY,10509,Putnam,0.07375
4753,Briarcliff Manor,S,NY,10510,Westchester,0.07375
4754,Scarborough,S,NY,10510,Westchester,0.07375
4755,Buchanan,S,NY,10511,Westchester,0.07375
4756,Carmel,S,NY,10512,Putnam,0.07375
4757,Lake Carmel,S,NY,10512,Putnam,0.07375
4758,Kent Cliffs,S,NY,10512,Putnam,0.07375
4759,Chappaqua,S,NY,10514,Westchester,0.07375
4760,Cold Spring,S,NY,10516,Putnam,0.07375
4761,Nelsonville,S,NY,10516,Putnam,0.07375
4762,Crompond,S,NY,10517,Westchester,0.07375
4763,Cross River,S,NY,10518,Westchester,0.07375
4764,Croton Falls,S,NY,10519,Westchester,0.07375
4765,Croton On Hudson,S,NY,10520,Westchester,0.07375
4766,Croton On Hudson,S,NY,10521,Westchester,0.07375
4767,Crugers,S,NY,10521,Westchester,0.07375
4768,Dobbs Ferry,15.95,NY,10522,Westchester,0.07375
4769,Elmsford,16.95,NY,10523,Westchester,0.07375
4770,Garrison,S,NY,10524,Putnam,0.07375
4771,Goldens Bridge,S,NY,10526,Westchester,0.07375
4772,Granite Springs,S,NY,10527,Westchester,0.07375
4773,Harrison,14.95,NY,10528,Westchester,0.07375
4774,Hartsdale,13.95,NY,10530,Westchester,0.07375
4775,Hawthorne,S,NY,10532,Westchester,0.07375
4776,Irvington,16.95,NY,10533,Westchester,0.07375
4777,East Irvington,S,NY,10533,Westchester,0.07375
4778,Jefferson Valley,S,NY,10535,Westchester,0.07375
4779,Katonah,S,NY,10536,Westchester,0.07375
4780,Lake Katonah,S,NY,10536,Westchester,0.07375
4781,Lake Peekskill,S,NY,10537,Putnam,0.07375
4782,Larchmont,13.95,NY,10538,Westchester,0.07375
4783,Lincolndale,S,NY,10540,Westchester,0.07375
4784,Mahopac,S,NY,10541,Putnam,0.07375
4785,Lake Mahopac,S,NY,10541,Putnam,0.07375
4786,Mahopac Falls,S,NY,10542,Putnam,0.07375
4787,Mamaroneck,13.95,NY,10543,Westchester,0.07375
4788,Maryknoll,S,NY,10545,Westchester,0.07375
4789,Millwood,S,NY,10546,Westchester,0.07375
4790,Mohegan Lake,S,NY,10547,Westchester,0.07375
4791,Montrose,S,NY,10548,Westchester,0.07375
4792,Mount Kisco,S,NY,10549,Westchester,0.07375
4793,Bedford Corners,S,NY,10549,Westchester,0.07375
4794,Mount Vernon,12.95,NY,10550,Westchester - Mt. Vernon,0.08375
4795,Mount Vernon,12.95,NY,10551,Westchester - Mt. Vernon,0.08375
4796,Mount Vernon,12.95,NY,10552,Westchester - Mt. Vernon,0.08375
4797,Mount Vernon,12.95,NY,10553,Westchester - Mt. Vernon,0.08375
4798,Mount Vernon,12.95,NY,10557,Westchester - Mt. Vernon,0.08375
4799,Mount Vernon,12.95,NY,10558,Westchester - Mt. Vernon,0.08375
4800,Mount Vernon,12.95,NY,10559,Westchester - Mt. Vernon,0.08375
4801,North Salem,S,NY,10560,Westchester,0.07375
4802,Ossining,S,NY,10562,Westchester,0.07375
4803,Peekskill,S,NY,10566,Westchester,0.07375
4804,Cortlandt Manor,S,NY,10566,Westchester,0.07375
4805,Continental Village,S,NY,10566,Westchester,0.07375
51654,Cortlandt Manor,S,NY,10567,westchester,0.07375
52167,cortlandt manor,S,ny,10567,Westchester,0.07375
4806,Pleasantville,S,NY,10570,Westchester,0.07375
4807,Pleasantville,S,NY,10571,Westchester,0.07375
4808,Pleasantville,S,NY,10572,Westchester,0.07375
4809,Port Chester,16.95,NY,10573,Westchester,0.07375
4810,Rye Brook,16.95,NY,10573,Westchester,0.07375
4811,Pound Ridge,S,NY,10576,Westchester,0.07375
4812,Purchase,16.95,NY,10577,Westchester,0.07375
4813,Purdys,S,NY,10578,Westchester,0.07375
4814,Putnam Valley,S,NY,10579,Putnam,0.07375
4815,Adams Corners,S,NY,10579,Putnam,0.07375
4816,Rye,15.95,NY,10580,Westchester,0.07375
4817,Rye,15.95,NY,10581,Westchester,0.07375
4818,Scarsdale,14.95,NY,10583,Westchester,0.07375
4819,Shenorock,S,NY,10587,Westchester,0.07375
4820,Shrub Oak,S,NY,10588,Westchester,0.07375
4821,Somers,S,NY,10589,Westchester,0.07375
4822,South Salem,S,NY,10590,Westchester,0.07375
4823,Lewisboro,S,NY,10590,Westchester,0.07375
4824,Tarrytown,20.95,NY,10591,Westchester,0.07375
4825,North Tarrytown,20.95,NY,10591,Westchester,0.07375
4826,Thornwood,S,NY,10594,Westchester,0.07375
4827,Valhalla,S,NY,10595,Westchester,0.07375
4828,Verplanck,S,NY,10596,Westchester,0.07375
4829,Waccabuc,S,NY,10597,Westchester,0.07375
4830,Yorktown Heights,S,NY,10598,Westchester,0.07375
4831,Yorktown,S,NY,10598,Westchester,0.07375
4832,White Plains,15.95,NY,10601,Westchester - White Plains,0.07875
4833,White Plains,15.95,NY,10602,Westchester - White Plains,0.07875
4834,White Plains,15.95,NY,10603,Westchester - White Plains,0.07875
4835,White Plains,15.95,NY,10604,Westchester - White Plains,0.07875
4836,West Harrison,S,NY,10604,Westchester,0.07875
4837,White Plains,15.95,NY,10605,Westchester - White Plains,0.07875
4838,White Plains,15.95,NY,10606,Westchester - White Plains,0.07875
4839,White Plains,15.95,NY,10607,Westchester - White Plains,0.07875
4840,White Plains,15.95,NY,10610,Westchester - White Plains,0.07875
4841,White Plains,15.95,NY,10625,Westchester - White Plains,0.07875
4842,White Plains,15.95,NY,10629,Westchester - White Plains,0.07875
4843,White Plains,15.95,NY,10633,Westchester - White Plains,0.07875
4844,White Plains,15.95,NY,10650,Westchester - White Plains,0.07875
4845,Yonkers,12.95,NY,10701,Westchester - Yonkers,0.08375
4846,Yonkers,12.95,NY,10702,Westchester - Yonkers,0.08375
4847,Yonkers,12.95,NY,10703,Westchester - Yonkers,0.08375
4848,Yonkers,12.95,NY,10704,Westchester - Yonkers,0.08375
4849,Yonkers,12.95,NY,10705,Westchester - Yonkers,0.08375
4850,Hastings On Hudson,13.95,NY,10706,Westchester,0.07375
4851,Yonkers,12.95,NY,10706,Westchester - Yonkers,0.08375
4852,Tuckahoe,13.95,NY,10707,Westchester,0.07375
4853,Yonkers,12.95,NY,10707,Westchester - Yonkers,0.08375
4854,Eastchester,12.95,NY,10707,Westchester,0.07375
4855,Bronxville,12.95,NY,10708,Westchester,0.07375
4856,Yonkers,12.95,NY,10708,Westchester - Yonkers,0.08375
4857,Eastchester,12.95,NY,10709,Westchester,0.07375
4858,Yonkers,12.95,NY,10709,Westchester - Yonkers,0.08375
4859,Yonkers,12.95,NY,10710,Westchester - Yonkers,0.08375
4860,New Rochelle,13.95,NY,10801,Westchester - New Rochelle,0.08375
4861,New Rochelle,13.95,NY,10802,Westchester - New Rochelle,0.08375
4862,Pelham,12.95,NY,10803,Westchester,0.07375
4863,New Rochelle,13.95,NY,10803,Westchester - New Rochelle,0.08375
4864,New Rochelle,13.95,NY,10804,Westchester - New Rochelle,0.08375
4865,New Rochelle,13.95,NY,10805,Westchester - New Rochelle,0.08375
4866,Suffern,S,NY,10901,Rockland,0.08
4867,Airmont,S,NY,10901,Rockland,0.08
4868,Arden,S,NY,10910,Orange,0.08125
4869,Bear Mountain,S,NY,10911,Rockland,0.08
4870,Bellvale,S,NY,10912,Orange,0.08125
4871,Blauvelt,S,NY,10913,Rockland,0.08
4872,Blooming Grove,S,NY,10914,Orange,0.08125
4873,Bullville,S,NY,10915,Orange,0.08125
4874,Campbell Hall,S,NY,10916,Orange,0.08125
4875,Central Valley,S,NY,10917,Orange,0.08125
4876,Chester,S,NY,10918,Orange,0.08125
4877,Circleville,S,NY,10919,Orange,0.08125
4878,Congers,S,NY,10920,Rockland,0.08
4879,Florida,S,NY,10921,Orange,0.08125
4880,Fort Montgomery,S,NY,10922,Orange,0.08125
4881,Garnerville,S,NY,10923,Rockland,0.08
4882,Goshen,S,NY,10924,Orange,0.08125
4883,Greenwood Lake,S,NY,10925,Orange,0.08125
4884,Harriman,S,NY,10926,Orange,0.08125
4885,Haverstraw,S,NY,10927,Rockland,0.08
4886,Highland Falls,S,NY,10928,Orange,0.08125
4887,Highland Mills,S,NY,10930,Orange,0.08125
4888,Hillburn,S,NY,10931,Rockland,0.08
4889,Howells,S,NY,10932,Orange,0.08125
4890,Johnson,S,NY,10933,Orange,0.08125
4891,Middletown,S,NY,10940,Orange,0.08125
4892,Scotchtown,S,NY,10940,Orange,0.08125
4893,Middletown,S,NY,10941,Orange,0.08125
4894,Middletown,S,NY,10943,Orange,0.08125
4895,Monroe,S,NY,10950,Orange,0.08125
4896,Rockland M P C,S,NY,10951,Rockland,0.08
4897,Monsey,S,NY,10952,Rockland,0.08
4898,Chestnut Ridge,S,NY,10952,Rockland,0.08
4899,Mountainville,S,NY,10953,Orange,0.08125
4900,Nanuet,S,NY,10954,Rockland,0.08
4901,Bardonia,S,NY,10954,Rockland,0.08
4902,New City,S,NY,10956,Rockland,0.08
4903,Clarkstown,S,NY,10956,Rockland,0.08
4904,New Hampton,S,NY,10958,Orange,0.08125
4905,New Milford,S,NY,10959,Orange,0.08125
4906,Nyack,S,NY,10960,Rockland,0.08
4907,Upper Nyack,S,NY,10960,Rockland,0.08
4908,Central Nyack,S,NY,10960,Rockland,0.08
4909,South Nyack,S,NY,10960,Rockland,0.08
4910,Orangeburg,S,NY,10962,Rockland,0.08
4911,Otisville,S,NY,10963,Orange,0.08125
4912,Palisades,S,NY,10964,Rockland,0.08
4913,Pearl River,S,NY,10965,Rockland,0.08
4914,Piermont,S,NY,10968,Rockland,0.08
4915,Pine Island,S,NY,10969,Orange,0.08125
4916,Pomona,S,NY,10970,Rockland,0.08
4917,Mount Ivy,S,NY,10970,Rockland,0.08
4918,Slate Hill,S,NY,10973,Orange,0.08125
4919,Sloatsburg,S,NY,10974,Rockland,0.08
4920,Southfields,S,NY,10975,Orange,0.08125
4921,Sparkill,S,NY,10976,Rockland,0.08
4922,Spring Valley,S,NY,10977,Rockland,0.08
4923,Chestnut Ridge,S,NY,10977,Rockland,0.08
4924,Sterling Forest,S,NY,10979,Orange,0.08125
4925,Stony Point,S,NY,10980,Rockland,0.08
4926,Grassy Point,S,NY,10980,Rockland,0.08
4927,Sugar Loaf,S,NY,10981,Orange,0.08125
4928,Tallman,S,NY,10982,Rockland,0.08
4929,Tappan,S,NY,10983,Rockland,0.0825
4930,Thiells,S,NY,10984,Rockland,0.08
4931,Thompson Ridge,S,NY,10985,Orange,0.08125
4932,Tomkins Cove,S,NY,10986,Rockland,0.08
4933,Tuxedo Park,S,NY,10987,Orange,0.08125
4934,Tuxedo,S,NY,10987,Orange,0.08125
4935,Unionville,S,NY,10988,Orange,0.08125
4936,Valley Cottage,S,NY,10989,Rockland,0.08
4937,Warwick,S,NY,10990,Orange,0.08125
4938,Washingtonville,S,NY,10992,Orange,0.08125
4939,West Haverstraw,S,NY,10993,Rockland,0.08
4940,West Nyack,S,NY,10994,Rockland,0.08
4941,West Nyack,S,NY,10995,Rockland,0.08
4942,West Point,S,NY,10996,Orange,0.08125
4943,West Point,S,NY,10997,Orange,0.08125
4944,Westtown,S,NY,10998,Orange,0.08125
4945,Floral Park,5,NY,11001,Nassau,0.08625
51655,Bellerose Village,5.95,ny,11001,nassau,0.08625
4946,Floral Park,5,NY,11002,Nassau,0.08625
4947,Elmont,5,NY,11003,Nassau,0.08625
4948,South Floral Park,5,NY,11003,Nassau,0.08625
4949,Floral Park,5,NY,11003,Nassau,0.08625
4950,Floral Park,5,NY,11004,Nassau,0.08625
4951,Glen Oaks,7.5,NY,11004,Queens,0.08375
51657,Alden Manor,5.95,ny,11004,queens,0.08375
4952,Floral Park,5,NY,11005,Nassau,0.08625
4953,Franklin Square,5.95,NY,11010,Nassau,0.08625
4954,Great Neck,7.5,NY,11020,Nassau,0.08625
4955,Great Neck,7.5,NY,11021,Nassau,0.08625
4956,Great Neck,7.5,NY,11022,Nassau,0.08625
4957,Great Neck,7.5,NY,11023,Nassau,0.08625
4958,Great Neck,7.5,NY,11024,Nassau,0.08625
4959,Kings Point,9.95,NY,11024,Nassau,0.08625
4960,Kenilworth,7.95,NY,11024,Nassau,0.08625
4961,Great Neck,7.5,NY,11025,Nassau,0.08625
4962,Great Neck,7.5,NY,11026,Nassau,0.08625
4963,Great Neck,7.5,NY,11027,Nassau,0.08625
4964,Manhasset,6.5,NY,11030,Nassau,0.08625
4965,Plandome,6.95,NY,11030,Nassau,0.08625
4966,Plandome Manor,6.95,NY,11030,Nassau,0.08625
4967,New Hyde Park,5,NY,11040,Nassau,0.08625
4968,Garden City Park,5,NY,11040,Nassau,0.08625
4969,Manhasset Hills,5.95,NY,11040,Nassau,0.08625
4970,New Hyde Park,5,NY,11041,Nassau,0.08625
4971,New Hyde Park,5,NY,11042,Nassau,0.08625
51652,Lake Success,5.95,NY,11042,Nassau,0.08625
4972,New Hyde Park,5,NY,11043,Nassau,0.08625
4973,New Hyde Park,5,NY,11044,Nassau,0.08625
4974,Port Washington,8.95,NY,11050,Nassau,0.08625
4975,Sands Point,8.95,NY,11050,Nassau,0.08625
4976,Flower Hill,7.5,NY,11050,Nassau,0.08625
4977,Manorhaven,8.95,NY,11050,Nassau,0.08625
4978,Port Washington,8.95,NY,11051,Nassau,0.08625
4979,Port Washington,8.95,NY,11052,Nassau,0.08625
4980,Port Washington,8.95,NY,11053,Nassau,0.08625
4981,Port Washington,8.95,NY,11054,Nassau,0.08625
4982,Port Washington,8.95,NY,11055,Nassau,0.08625
4983,Inwood,7.95,NY,11096,Nassau,0.08625
4984,Far Rockaway,9.95,NY,11096,Nassau,0.08625
4985,New Hyde Park,5,NY,11099,Nassau,0.08625
4986,Long Island City,7.5,NY,11101,Queens,0.08375
4987,Astoria,7.5,NY,11101,Queens,0.08375
4988,Astoria,7.5,NY,11102,Queens,0.08375
4989,Long Island City,7.5,NY,11102,Queens,0.08375
4990,Long Island City,7.5,NY,11103,Queens,0.08375
4991,Astoria,7.5,NY,11103,Queens,0.08375
4992,Sunnyside,7.5,NY,11104,Queens,0.08375
4993,Long Island City,7.5,NY,11104,Queens,0.08375
4994,Astoria,7.5,NY,11104,Queens,0.08375
4995,Long Island City,7.5,NY,11105,Queens,0.08375
4996,Astoria,7.5,NY,11105,Queens,0.08375
4997,Long Island City,7.5,NY,11106,Queens,0.08375
4998,Astoria,7.5,NY,11106,Queens,0.08375
52211,LONG ISLAND CITY,S,NY,11109,,1.08375
52213,long island city,S,ny,11109,queens,1.08375
4999,Long Island City,7.5,NY,11120,Queens,0.08375
5000,Brooklyn,10.95,NY,11201,Kings,0.08375
5001,Brooklyn,10.95,NY,11202,Kings,0.08375
5002,Brooklyn,10.95,NY,11203,Kings,0.08375
5003,Brooklyn,10.95,NY,11204,Kings,0.08375
5004,Brooklyn,10.95,NY,11205,Kings,0.08375
5005,Brooklyn,10.95,NY,11206,Kings,0.08375
5006,Brooklyn,10.95,NY,11207,Kings,0.08375
5007,Brooklyn,10.95,NY,11208,Kings,0.08375
5008,Brooklyn,10.95,NY,11209,Kings,0.08375
5009,Brooklyn,10.95,NY,11210,Kings,0.08375
5010,Brooklyn,10.95,NY,11211,Kings,0.08375
5011,Brooklyn,10.95,NY,11212,Kings,0.08375
5012,Brooklyn,10.95,NY,11213,Kings,0.08375
5013,Brooklyn,10.95,NY,11214,Kings,0.08375
5014,Brooklyn,10.95,NY,11215,Kings,0.08375
5015,Brooklyn,10.95,NY,11216,Kings,0.08375
5016,Brooklyn,10.95,NY,11217,Kings,0.08375
5017,Brooklyn,10.95,NY,11218,Kings,0.08375
5018,Brooklyn,10.95,NY,11219,Kings,0.08375
5019,Brooklyn,10.95,NY,11220,Kings,0.08375
5020,Brooklyn,10.95,NY,11221,Kings,0.08375
5021,Brooklyn,10.95,NY,11222,Kings,0.08375
5022,Brooklyn,10.95,NY,11223,Kings,0.08375
5023,Brooklyn,10.95,NY,11224,Kings,0.08375
5024,Brooklyn,10.95,NY,11225,Kings,0.08375
5025,Brooklyn,10.95,NY,11226,Kings,0.08375
5026,Brooklyn,10.95,NY,11228,Kings,0.08375
5027,Brooklyn,10.95,NY,11229,Kings,0.08375
5028,Brooklyn,10.95,NY,11230,Kings,0.08375
5029,Brooklyn,10.95,NY,11231,Kings,0.08375
5030,Brooklyn,10.95,NY,11232,Kings,0.08375
5031,Brooklyn,10.95,NY,11233,Kings,0.08375
5032,Brooklyn,10.95,NY,11234,Kings,0.08375
5033,Brooklyn,10.95,NY,11235,Kings,0.08375
5034,Brooklyn,10.95,NY,11236,Kings,0.08375
5035,Brooklyn,10.95,NY,11237,Kings,0.08375
5036,Brooklyn,10.95,NY,11238,Kings,0.08375
5037,Brooklyn,10.95,NY,11239,Kings,0.08375
5038,Brooklyn,10.95,NY,11240,Kings,0.08375
5039,Brooklyn,10.95,NY,11241,Kings,0.08375
5040,Brooklyn,10.95,NY,11242,Kings,0.08375
5041,Brooklyn,10.95,NY,11243,Kings,0.08375
5042,Brooklyn,10.95,NY,11244,Kings,0.08375
5043,Brooklyn,10.95,NY,11245,Kings,0.08375
5044,Brooklyn,10.95,NY,11247,Kings,0.08375
5045,Brooklyn,10.95,NY,11248,Kings,0.08375
5046,Brooklyn,10.95,NY,11249,Kings,0.08375
5047,Brooklyn,10.95,NY,11251,Kings,0.08375
5048,Brooklyn,10.95,NY,11252,Kings,0.08375
5049,Brooklyn,10.95,NY,11254,Kings,0.08375
